Time (ms),Name,Value
"36","Arm Hi","true"
"36","IR Distance","2198.0"
"37","Arm Lo","false"
"37","Arm Pot","0.5076229814438926"
"13696","Arm Pot","0.506676057615231"
"13696","IR Distance","2210.0"
"13797","Arm Pot","0.5059327448586162"
"13798","IR Distance","2202.0"
"13897","Arm Pot","0.5089108453002759"
"13897","IR Distance","2198.0"
"13999","Arm Pot","0.5068250116225728"
"13999","IR Distance","2202.0"
"14099","Arm Pot","0.5047045552582364"
"14099","IR Distance","2196.0"
"14199","Arm Pot","0.506229817833192"
"14199","IR Distance","2205.0"
"14300","Arm Pot","0.506676057615231"
"14300","IR Distance","2206.0"
"14400","Arm Pot","0.5065272398826338"
"14401","IR Distance","2205.0"
"14502","Arm Pot","0.5065272398826338"
"14502","IR Distance","2207.0"
"14602","Arm Pot","0.5094143148445079"
"14602","IR Distance","2198.0"
"14702","Arm Pot","0.5065272398826338"
"14702","IR Distance","2207.0"
"14803","Arm Pot","0.5083191373284444"
"14803","IR Distance","2199.0"
"14903","Arm Pot","0.506676057615231"
"14903","IR Distance","2207.0"
"15004","IR Distance","2201.0"
"15004","Arm Pot","0.5081693529832659"
"15105","Arm Pot","0.5064296198206067"
"15105","IR Distance","2208.0"
"15205","Arm Pot","0.5068250116225728"
"15205","IR Distance","2201.0"
"15306","Arm Pot","0.5069740044030425"
"15306","IR Distance","2208.0"
"15406","Arm Pot","0.504161823384409"
"15407","IR Distance","2213.0"
"15507","Arm Pot","0.5065272398826338"
"15507","IR Distance","2205.0"
"15608","Arm Pot","0.5067736052950856"
"15608","IR Distance","2206.0"
"15708","Arm Pot","0.506676057615231"
"15708","IR Distance","2205.0"
"15809","IR Distance","2204.0"
"15809","Arm Pot","0.5065785013794945"
"15909","Arm Pot","0.5064296198206067"
"15909","IR Distance","2204.0"
"16010","Arm Pot","0.5068250116225728"
"16010","IR Distance","2203.0"
"16110","Arm Pot","0.5092730235320015"
"16111","IR Distance","2199.0"
"16211","Arm Pot","0.506132167777134"
"16211","IR Distance","2203.0"
"16312","Arm Pot","0.5043099511705678"
"16312","IR Distance","2194.0"
"16413","Arm Pot","0.5065272398826338"
"16413","IR Distance","2204.0"
"16513","Arm Pot","0.5086190202210327"
"16513","IR Distance","2200.0"
"16614","Arm Pot","0.5065785013794945"
"16614","IR Distance","2195.0"
"16714","Arm Pot","0.5065272398826338"
"16714","IR Distance","2205.0"
"16815","Arm Pot","0.5065272398826338"
"16815","IR Distance","2203.0"
"16916","Arm Pot","0.5068250116225728"
"16916","IR Distance","2204.0"
"17016","Arm Pot","0.5069740044030425"
"17017","IR Distance","2205.0"
"17117","Arm Pot","0.5065272398826338"
"17117","IR Distance","2207.0"
"17218","Arm Pot","0.506676057615231"
"17218","IR Distance","2204.0"
"17318","IR Distance","2208.0"
"17318","Arm Pot","0.506676057615231"
"17418","IR Distance","2195.0"
"17419","Arm Pot","0.5048529296779459"
"17419","Arm Hi","false"
"17519","Arm Pot","0.506676057615231"
"17519","IR Distance","2207.0"
"17619","Arm Pot","0.506676057615231"
"17620","IR Distance","2215.0"
"17720","IR Distance","2207.0"
"17720","Arm Pot","0.5068250116225728"
"17821","Arm Pot","0.506280874470182"
"17821","IR Distance","2205.0"
"17921","Arm Pot","0.506280874470182"
"17922","IR Distance","2208.0"
"18022","Arm Pot","0.506132167777134"
"18022","IR Distance","2201.0"
"18123","Arm Pot","0.5058350649461786"
"18123","IR Distance","2202.0"
"18223","Arm Pot","0.506280874470182"
"18223","IR Distance","2204.0"
"18324","Arm Pot","0.5058858747280434"
"18324","IR Distance","2202.0"
"18424","Arm Pot","0.5072325097334792"
"18424","IR Distance","2199.0"
"18525","Arm Pot","0.5027330529012419"
"18525","IR Distance","2196.0"
"18626","Arm Pot","0.5021914789916839"
"18626","IR Distance","2215.0"
"18726","Arm Pot","0.5011552760317706"
"18726","IR Distance","2205.0"
"18827","Arm Pot","0.49760386140818763"
"18827","IR Distance","2210.0"
"18927","Arm Pot","0.49854361039262834"
"18928","IR Distance","2205.0"
"19028","Arm Pot","0.49691898879701407"
"19028","IR Distance","2204.0"
"19129","Arm Pot","0.4937162384351408"
"19129","IR Distance","2210.0"
"19229","Arm Pot","0.49489145159388753"
"19229","IR Distance","2204.0"
"19330","Arm Pot","0.493469873022689"
"19330","IR Distance","2203.0"
"19431","Arm Pot","0.49090403875927424"
"19431","IR Distance","2210.0"
"19531","Arm Pot","0.49164335214314725"
"19531","IR Distance","2204.0"
"19631","Arm Pot","0.4916093579033764"
"19631","IR Distance","2198.0"
"19732","Arm Pot","0.4888916543407899"
"19732","IR Distance","2208.0"
"19833","Arm Pot","0.4876200779079149"
"19833","IR Distance","2199.0"
"19933","Arm Pot","0.4868180068864907"
"19933","IR Distance","2207.0"
"20034","Arm Pot","0.48572884507216346"
"20034","IR Distance","2205.0"
"20134","Arm Pot","0.4848855999885989"
"20134","IR Distance","2207.0"
"20235","Arm Pot","0.4835109049205445"
"20235","IR Distance","2204.0"
"20335","Arm Pot","0.4821370640499067"
"20335","IR Distance","2208.0"
"20436","Arm Pot","0.48285373065600173"
"20436","IR Distance","2201.0"
"20537","Arm Pot","0.4805536513850526"
"20537","IR Distance","2207.0"
"20637","Arm Pot","0.4767507619670131"
"20637","IR Distance","2211.0"
"20738","Arm Pot","0.47833571123343366"
"20738","IR Distance","2209.0"
"20838","Arm Pot","0.47650983074535774"
"20839","IR Distance","2199.0"
"20939","Arm Pot","0.475977928738612"
"20939","IR Distance","2207.0"
