Time (ms),Name,Value
3,"DriveAngle kD","0.0"
3,"DriveSlide Error","0.0"
4,"DriveAngle Interval","0.0"
4,"DriveAngle SensorRatio","1.0"
4,"DriveAngle Target","0.0"
4,"LimitStep","0.1"
4,"UpperAccelerationLimit","100.0"
4,"DriveDistance kP","0.0"
4,"DriveDistance kI","0.0"
4,"LowerAccelerationLimit","-100.0"
4,"DriveSlide Interval","0.0"
5,"DriveDistance Error","0.0"
5,"DriveAngle Error","0.0"
5,"limit","700.0"
5,"DriveDistance kD","0.0"
5,"Lower Turn Velocity Limit","-100.0"
5,"DriveSlide Output","0.0"
6,"DriveDistance Target","0.0"
6,"DriveSlide kP","0.0"
6,"upperlimit","20000.0"
6,"DriveDistance SensorRatio","1.0"
6,"DriveSlide Input","0.0"
6,"DriveAngle Output","0.0"
6,"DriveSlide kI","0.0"
6,"direction","0.0"
7,"DriveSlide kD","0.0"
7,"DriveDistance Interval","0.0"
8,"DriveSlide SensorRatio","1.0"
8,"onWhite3","true"
8,"onWhite2","true"
8,"onWhite1","true"
8,"lowerlimit","-20000.0"
9,"Upper Turn Acceleration Limit","100.0"
9,"Upper Turn Velocity Limit","100.0"
9,"DriveDistance Input","0.0"
9,"DriveAngle Input","0.0"
9,"Lower Turn Acceleration Limit","-100.0"
9,"DriveSlide Target","0.0"
9,"DriveAngle kP","0.0"
9,"value3","633.0"
9,"DriveDistance Output","0.0"
9,"value2","493.0"
10,"value1","611.0"
10,"DriveAngle kI","0.0"
18667,"limit","0.0"
18667,"value1","912.0"
18667,"value2","903.0"
18667,"value3","907.0"
18667,"onWhite1","false"
18667,"onWhite2","false"
18668,"onWhite3","false"
18768,"value1","912.0"
18768,"value2","904.0"
18768,"value3","908.0"
18868,"value3","908.0"
18868,"value2","904.0"
18970,"value1","912.0"
18970,"value3","907.0"
18970,"value2","904.0"
19070,"value1","909.0"
19071,"value2","905.0"
19171,"value1","913.0"
19171,"value2","905.0"
19172,"value3","909.0"
19275,"value2","903.0"
19275,"value3","908.0"
19275,"value1","913.0"
19375,"value1","912.0"
19375,"value3","907.0"
19375,"value2","903.0"
19476,"value1","912.0"
19476,"value2","903.0"
19476,"value3","908.0"
19579,"value1","912.0"
19579,"value2","904.0"
19579,"value3","908.0"
19708,"value2","904.0"
19708,"value3","910.0"
19708,"value1","913.0"
19779,"value1","912.0"
19779,"value2","904.0"
19779,"value3","909.0"
