Time (ms),Name,Value
"1487543312894","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.0"
"1487543312895","/Preferences/angleD","0.0"
"1487543312895","/SmartDashboard/DriveTrain/Right Encoder Rate","0.0"
"1487543312895","/Preferences/angleP","0.1"
"1487543312895","/SmartDashboard/Collect/~TYPE~","Command"
"1487543312896","/SmartDashboard/DriveTrain/Left Encoder Count","0.0"
"1487543312896","/SmartDashboard/Autonomous Command/~TYPE~","Command"
"1487543312896","/Preferences/angleI","0.0"
"1487543312896","/SmartDashboard/DriveTrain/Left Encoder Raw","0.0"
"1487543312896","/SmartDashboard/Collect/name","Collect"
"1487543312896","/SmartDashboard/Autonomous Command/name","AutonomousCommand"
"1487543312897","/SmartDashboard/Command 1/~TYPE~","Command"
"1487543312897","/SmartDashboard/Collect/running","False"
"1487543312897","/SmartDashboard/Command 1/isParented","False"
"1487543312897","/SmartDashboard/BallHandling/Elevator Encoder Distance","0.0"
"1487543312897","/SmartDashboard/DriveTrain/Gyro Angle","0.0"
"1487543312897","/SmartDashboard/GearMech/Gear Mech Flap state","False"
"1487543312897","/Preferences/driveVelP","0.9"
"1487543312897","/SmartDashboard/BallHandling/Outside Roller Rate","0.0"
"1487543312897","/SmartDashboard/Dump/name","Dump"
"1487543312897","/SmartDashboard/Collect/isParented","False"
"1487543312897","/SmartDashboard/Command 1/name","TankDrive"
"1487543312897","/SmartDashboard/Autonomous Command/running","False"
"1487543312897","/Preferences/driveVelF","0.2"
"1487543312897","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.0"
"1487543312897","/Preferences/driveVelI","0.0"
"1487543312897","/Preferences/driveTrain_kI","0.3"
"1487543312897","/Preferences/climberNudgeDown","-1.0"
"1487543312897","/Preferences/climberNudgeUp","-1.0"
"1487543312897","/SmartDashboard/DriveTrain/Left Encoder Distance","0.0"
"1487543312898","/SmartDashboard/Dump/~TYPE~","Command"
"1487543312898","/SmartDashboard/GearMech/Gear Mech Drop state","False"
"1487543312898","/Preferences/driveTrain_kD","0.03"
"1487543312898","/Preferences/driveTrain_kF","0.58823"
"1487543312898","/SmartDashboard/Dump/isParented","False"
"1487543312898","/SmartDashboard/Autonomous Command/isParented","False"
"1487543312898","/SmartDashboard/BallHandling/~TYPE~","SubSystem"
"1487543312898","/Preferences/driveTrain_kP","0.003"
"1487543312898","/SmartDashboard/BallHandling/Elevator Encoder Rate","0.0"
"1487543312898","/SmartDashboard/DriveTrain/Left Encoder Rate","0.0"
"1487543312898","/SmartDashboard/DriveTrain/Right Encoder Count","0.0"
"1487543312898","/SmartDashboard/Command 1/running","False"
"1487543312898","/SmartDashboard/BallHandling/Elevator Rate","0.0"
"1487543312898","/SmartDashboard/Dump/running","False"
"1487543312898","/SmartDashboard/DriveTrain/DriveTrainShifter state","False"
"1487543312898","/SmartDashboard/GearMech/~TYPE~","SubSystem"
"1487543312898","/LiveWindow/~STATUS~/LW Enabled","False"
"1487543312898","/SmartDashboard/BallHandling/Pickup Flap state","False"
"1487543312898","/SmartDashboard/DriveTrain/Right Encoder Distance","0.0"
"1487543312898","/SmartDashboard/BallHandling/Elevator Encoder Raw","0.0"
"1487543312898","/SmartDashboard/DriveTrain/~TYPE~","SubSystem"
"1487543312898","/SmartDashboard/DriveTrain/Right Encoder Raw","0.0"
"1487543312898","/SmartDashboard/Angle","0.0"
"1487543312898","/SmartDashboard/BallHandling/Elevator Encoder Count","0.0"
"1487543312898","/SmartDashboard/BallHandling/Dumper Lift state","False"
"1487543315302","/SmartDashboard/BallHandling/Outside Roller Rate","1.0"
"1487543315303","/SmartDashboard/BallHandling/Outside Roller Rate","1.0"
"1487543315303","/SmartDashboard/BallHandling/Elevator Rate","-1.0"
"1487543315303","/SmartDashboard/BallHandling/Elevator Rate","-1.0"
"1487543315303","/SmartDashboard/DriveTrain/Left Encoder Raw","-55.0"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Raw","-55.0"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Count","-13.0"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Count","-13.0"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.00709786149434"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.00709786149434"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.306055262609"
"1487543315304","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.306055262609"
"1487543315304","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.00722691352151"
"1487543315304","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.00722691352151"
"1487543315304","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.315251219078"
"1487543315304","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.315251219078"
"1487543315402","/SmartDashboard/DriveTrain/Left Encoder Raw","-318.0"
"1487543315403","/SmartDashboard/DriveTrain/Left Encoder Raw","-318.0"
"1487543315403","/SmartDashboard/DriveTrain/Left Encoder Count","-79.0"
"1487543315403","/SmartDashboard/DriveTrain/Left Encoder Count","-79.0"
"1487543315403","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.04103854464"
"1487543315403","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.04103854464"
"1487543315404","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.350744425806"
"1487543315404","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.350744425806"
"1487543315404","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.0411675966672"
"1487543315404","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.0411675966672"
"1487543315404","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.358465406534"
"1487543315404","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.358465406534"
"1487543315502","/SmartDashboard/DriveTrain/Left Encoder Raw","-598.0"
"1487543315502","/SmartDashboard/DriveTrain/Left Encoder Raw","-598.0"
"1487543315502","/SmartDashboard/DriveTrain/Left Encoder Count","-149.0"
"1487543315502","/SmartDashboard/DriveTrain/Left Encoder Count","-149.0"
"1487543315503","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.0771731122476"
"1487543315503","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.0771731122476"
"1487543315503","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.351868108571"
"1487543315503","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.351868108571"
"1487543315503","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.0773021642748"
"1487543315504","/SmartDashboard/DriveTrain/DifferenceOfEncodersDistance:","0.0773021642748"
"1487543315504","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.359889921344"
"1487543315504","/SmartDashboard/DriveTrain/DifferenceOfEncodersRate:","0.359889921344"
"1487543315603","/SmartDashboard/DriveTrain/Left Encoder Raw","-876.0"
"1487543315603","/SmartDashboard/DriveTrain/Left Encoder Raw","-876.0"
"1487543315604","/SmartDashboard/DriveTrain/Left Encoder Count","-219.0"
"1487543315604","/SmartDashboard/DriveTrain/Left Encoder Count","-219.0"
"1487543315604","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.113049575801"
"1487543315604","/SmartDashboard/DriveTrain/Left Encoder Distance","-0.113049575801"
"1487543315604","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.358229083053"
"1487543315604","/SmartDashboard/DriveTrain/Left Encoder Rate","-0.358229083053"
